true_init_x,true_init_y,true_init_z,noise_coeff,var_sum,diff_x,diff_y,diff_z,v_x,v_y,v_z,diff_phi,diff_theta,diff_psi,phi_dot,theta_dot,psi_dot,r_var,phi_var,theta_var,psi_var,Tf,MP_Method,Cost,Status,curr_idx
-0.15055408411685303,29.789713244696,-1.8540970049067438,0.0,0.1777858305722475,0.11514072860006878,-9.712587084903074,-0.31344500667358677,0.0,0.0,0.0,-0.033923450840736065,-0.006106641996376348,0.24387176434067315,0.0,0.0,0.0,0.07113313674926758,0.0018231496214866638,0.016392791643738747,0.08843675255775452,6.902827262878417,min_vel,33.75016679843434,SUCCESS,11
-0.15324285256048464,29.696267108936716,-1.8583393786702551,0.0,0.08489668741822243,-2.6030780766951405,-7.605975806900794,-4.728509185440259,0.003401640201126732,-1.1401784967824788,-0.0254246153516651,-0.033923450840736065,-0.006106641996376348,0.1785131255772452,-0.08757692816082738,-2.874011799471334,0.015893703799152913,0.0,0.0,0.019903618842363358,0.06499306857585907,6.628628063201903,min_vel,35.421532229712625,SUCCESS,12
-0.17626807130815675,29.375060688528823,-1.9009366566544212,0.0,0.2261545266956091,0.18475654629242616,-8.884717592508895,-2.1975963444520588,-0.32871520737550974,-1.5859333164562845,-0.3489686470230419,-0.033923450840736065,-0.006106641996376348,0.040914611020360425,-0.7146572738333736,-1.2046675324556055,0.023586293225518907,0.13743257522583008,0.0023166127502918243,0.018337609246373177,0.06806772947311401,6.5080318450927725,min_vel,32.7429353067743,SUCCESS,13
-0.2583872194937043,29.027353678120736,-1.9789571317380192,0.0,0.1040012501180172,-0.5537647739706597,-8.790519882079447,1.6489988214332154,-0.19569396314067755,-1.6957703600433007,-0.3710072646443889,-0.033923450840736065,-0.006106641996376348,0.0409069816258294,0.17247384319012168,-0.43350565311946426,0.0188941583340081,0.017508506774902344,0.0008798502385616302,0.018978074193000793,0.06663481891155243,6.372682952880859,min_vel,31.275820825815327,SUCCESS,14
-0.2621012484466977,28.649464184551302,-2.0292556221410227,0.0,0.1492415014654398,0.36224246450167097,-8.578851277530493,-0.5798511291781971,-0.012444702727458398,-1.8251002117735502,-0.11334534651141204,-0.033923450840736065,-0.006106641996376348,-0.019671841463770434,0.2487943006145399,-0.6099957812157722,0.012992725079458511,0.06923580169677734,0.0013582557439804077,0.01920902170240879,0.059438422322273254,6.124236679077148,min_vel,28.132056384180935,SUCCESS,15
-0.2711627302257788,28.27902120813081,-2.052175237408963,0.0,0.1486792430281639,0.08547748982078118,-8.228507479369323,0.9162524819396791,-0.008105108346800165,-1.8103366462789714,-0.11224057974575465,-0.033923450840736065,-0.006106641996376348,0.13874180714157625,-0.1588465592812569,-0.22961467681941927,0.0003442457087268864,0.09546470642089844,0.0016387104988098145,0.018944747745990753,0.06305408477783203,5.895862960815429,min_vel,25.824659052894578,SUCCESS,16
-0.26256196782224794,27.925487188262792,-2.063604459213373,0.0,0.16283138282597065,0.1516204491279361,-7.814875525866967,0.04045893935400491,0.05509140523503153,-1.8001578973099326,-0.007920927202625697,-0.033923450840736065,-0.006106641996376348,0.0563674728062491,0.2172154083084061,-0.28311088492704034,0.00834052533049906,0.08057069778442383,0.0012778937816619873,0.019498175010085106,0.054310619831085205,5.571515417098999,min_vel,22.85385461708524,SUCCESS,17
-0.2556956097968573,27.59396186693369,-2.0644730505657725,0.0,0.14523119628429412,0.06531630538214273,-7.585800122375112,0.06750359132018646,0.02662201124491745,-1.7865457544881598,-0.002102204552862705,-0.033923450840736065,-0.006106641996376348,-0.16013829310866767,-0.1332622950717908,-0.1990450916268245,0.011242344188379915,0.07455253601074219,0.0010130517184734344,0.02033931016921997,0.042248696088790894,5.410467338562011,min_vel,21.384506706434408,SUCCESS,18
-0.2510936630473287,27.273597207629013,-2.0643429463877006,0.0,0.15306113623082637,0.1889391120081655,-7.583610340977195,-0.04329481717174222,0.022743340141302,-1.7756831721594486,0.0033547368325908804,-0.033923450840736065,-0.006106641996376348,-0.10560457309218818,0.009329208081455303,-0.20475722601404456,-0.0019522040820565269,0.07924747467041016,0.001151803880929947,0.020305713638663292,0.04244595766067505,5.410261392593383,min_vel,21.445565660087237,SUCCESS,19
-0.2469494161385958,26.95473060387894,-2.0641192631449328,0.0,0.158067936450243,0.33810397564936384,-6.905928084568874,0.18118097471453454,0.029713951702310858,-1.7709223226858253,-0.0007722809169754333,-0.033923450840736065,-0.006106641996376348,0.012159423032079175,-0.036636981217933316,-0.20675761264151477,-0.010482528140652071,0.1128549575805664,0.0013701468706130981,0.019453078508377075,0.04059731960296631,4.941601133346557,min_vel,17.7400522778023,SUCCESS,20
