true_init_x,true_init_y,true_init_z,diff_x,diff_y,diff_z,diff_phi,diff_theta,diff_psi,r_std,phi_std,theta_std,psi_std,time_or_speed,Tf,v_average,mp_method,Cost
0.0,0.0,-2,0.20631046515553156,-3.7757214481068226,0.0817235136230341,0.038663186487630834,0.061441706745634414,0.11556919018295808,0.008907536044716835,0.0001260068383999169,0.00017908710287883878,0.001947605051100254,1,1.8887998188490136,2.0024550828656893,min_vel,2308.2490500263257
0.0,0.0,-2,0.09630368205979764,-1.13597002061015,0.19695171601865646,0.038663186487630834,0.061441706745634414,-0.21994487842055777,0.0077284350991249084,0.00019425200298428535,0.00022276039817370474,0.0019380105659365654,1,0.5777569118549055,2.0024550828656893,min_vel,150.24477903954394
0.0,0.0,-2,1.9385582602714344,-2.9707518832386097,-0.2520136026119357,0.050003923322905805,0.03625418331468389,0.686903969445501,0.006943356245756149,8.555705426260829e-05,0.00018071022350341082,0.0018801518017426133,0,5.29738135755101,2.0024550828656893,min_vel,1001322.5394718762
0.0,0.0,-2,-0.07057854219765025,-3.5465589397369692,0.004109454318461658,0.17065273036176049,-0.16914383074718647,0.20086248318222588,0.007853744551539421,0.00012319342931732535,0.0001845969818532467,0.0019285104935988784,1,2.020068566713087,1.756011447151962,min_vel,2586.441336952857
0.0,0.0,-2,0.1594873658348044,-3.7019297874089,0.12529260813416476,-0.05302404372124584,0.05249920385222089,0.3363071242955069,0.009799949824810028,0.0001374635612592101,0.00018261572404298931,0.0019565706606954336,1,5.875384284490295,0.6310193951319425,min_vel,21311.378083329215
0.0,0.0,-2,0.09767337230668666,-1.9542906168488536,0.18677530897446304,-0.05302404372124584,0.05249920385222089,-0.8071767528864997,0.007733602076768875,0.00017366628162562847,0.00020972889615222812,0.001940632937476039,1,3.114997437581811,0.6310193951319425,min_vel,3807.9130945045213
0.0,0.0,-2,-0.36566823658444364,-3.3005031723774234,0.08366716299239774,0.15363316937502045,-0.15390702864899353,0.20231278339890046,0.00842227227985859,0.00015022631851024926,0.0001943047682289034,0.0019451918778941035,1,0.7716915503746179,1.4348356938349982,min_snap,364.05317824475617
0.0,0.0,-2,-0.2293797462956433,-2.5616297676049475,-1.380980914424832,0.15363316937502045,-0.15390702864899353,0.447832659879003,0.006477035582065582,0.00012445892207324505,0.0001959538203664124,0.0019002858316525817,1,0.6781705716471779,1.4348356938349982,min_snap,345.4365868274057
0.0,0.0,-2,-0.3504027346206011,-1.762282287919152,-1.7765318283146097,0.15363316937502045,-0.15390702864899353,-0.1563986976954601,0.005086544901132584,0.0001275304239243269,0.00020424839749466628,0.0018826110754162073,1,0.5870019611880255,1.4348356938349982,min_snap,233.15535474096376
0.0,0.0,-2,-0.8228365806506042,-1.2564844856486266,-2.1730619640192725,0.15363316937502045,-0.15390702864899353,-0.23549334605666572,0.004493542015552521,0.00013347953790798783,0.00020760667393915355,0.0018826380837708712,1,0.6136806318973578,1.4348356938349982,min_snap,261.06453307355645
0.0,0.0,-2,-0.14160182212909517,-1.2639307460355882,-1.7568754242426001,0.15363316937502045,-0.15390702864899353,0.11774928967026277,0.005052970722317696,0.0001598429516889155,0.000218803936149925,0.00189420604147017,1,0.5038702181010474,1.4348356938349982,min_snap,1000000000.0
0.0,0.0,-2,-0.08583216315068931,-3.314642881090787,-0.5843923607216159,-0.11168849907884236,0.057916510379770005,0.2556465427067618,0.008791493251919746,0.00014916242798790336,0.00019309329218231142,0.0019468619721010327,0,1.159223230884477,1.4348356938349982,min_snap,823.6548871111818
0.0,0.0,-2,-0.07316416651089613,-3.0214319971434236,-0.662231674852777,-0.11168849907884236,0.057916510379770005,0.1565619269993641,0.007724374532699585,0.00014015519991517067,0.00019528577104210854,0.0019267827738076448,0,1.0652834656326096,1.4348356938349982,min_snap,737.2680870781861
0.0,0.0,-2,-0.13058484870596465,-2.727801753861031,-0.5876769456558004,-0.11168849907884236,0.057916510379770005,0.19170148769882722,0.00729992613196373,0.00014671433018520474,0.0002018056547967717,0.0019196455832570791,0,0.9617935258838107,1.4348356938349982,min_snap,599.2574182408829
0.0,0.0,-2,0.1422981632718784,-3.894231331579705,-0.5636020537889379,-0.006293269600090415,-0.0013945595590621692,0.2946027080204823,0.008028572425246239,9.515634155832231e-05,0.00017087484593503177,0.0019210504833608866,1,0.5348606905445309,2.453833038545995,min_snap,172.78226834702687
0.0,0.0,-2,-0.7613579025974744,-2.1464116612115807,-1.5030458444497092,-0.006293269600090415,-0.0013945595590621692,0.03309090534714243,0.003611307591199875,5.834823241457343e-05,0.00018102741159964353,0.00183592620305717,1,0.37067407251561196,2.453833038545995,min_snap,1000000000000.0
0.0,0.0,-2,0.033857375859144306,-3.5339011938469174,0.05434402846880926,0.051069631778546135,0.08821122219354283,0.1909929076817376,0.008980536833405495,0.00014285941142588854,0.00018772782641462982,0.001951191108673811,0,1.333030199137568,2.453833038545995,min_snap,1092.1049068163477
0.0,0.0,-2,-0.08784945718045281,-3.325494570164398,-0.8934353912821127,0.051069631778546135,0.08821122219354283,0.3779006759312493,0.007902884855866432,0.0001245108142029494,0.0001862994977273047,0.001926169265061617,0,1.2991091043892495,2.453833038545995,min_snap,1087.5881536317747
0.0,0.0,-2,-0.01200208527365143,-3.108205409482886,-0.860548397239536,0.051069631778546135,0.08821122219354283,0.24641044537094658,0.007308408617973328,0.000122465833555907,0.00018929358338937163,0.0019149619620293379,0,1.216367954472299,2.453833038545995,min_snap,944.1968109916959
